date,text,views,forwards,replies
2025-05-02 14:47:27+00:00,"**В Белом доме пока не знают, что делать дальше после подписания соглашения с Украиной — Politico**

По [данным](https://www.politico.com/news/2025/05/02/trumps-minerals-deal-ukraine-russia-00322359) источников Politico, в Белом доме после подписания сделки по недрам с Украиной пока не знают, какие шаги предпринять дальше, и консенсуса по этому вопросу нет. Сделку с Украиной Politico называет «прорывом», но отмечает, что она вряд ли смягчит позицию Владимира Путина, которая пока выражается в сопротивлении мирному плану Трампа.

Дальнейшие действия могут потребовать от Трампа «трудного выбора», включая оказание прямого давления на Кремль, на что он пока не готов пойти, пишет Politico. «Больше санкций — это следующий этап закручивания гаек, если президент захочет пойти по этому пути», — говорит источник издания.",25257,39,0
2025-05-02 14:15:01+00:00,"**Война глазами читателей «Медузы». Сегодня мы публикуем письмо Варвары из Сибири**

[… В первый день полномасштабной войны] рухнула иллюзия, что я живу в цивилизованной стране, лидер которой хоть и вороватый бандит, но все же в целом адекватный. Нет. Потом стала общаться с некоторыми родственниками и знакомыми. И рухнула иллюзия номер два, что меня окружают разумные, гуманные люди, для которых эта война — варварство, преступление и фашизм. Нет. Женщина, которая еле ходит и живет после -дцатой химиотерапии, вдруг наполняется таким неистовством и ненавистью и буквально — откуда силы взялись — кричит: «Так и надо! Этих хохлов всех надо перестрелять! Они нас всегда ненавидели!» И мои слова, что за это нельзя убивать, что мир не обязан нас любить, что нам никто не причинил зла, тонут в потоке ее злобы. А я знала ее много лет, считала порядочным человеком.

Мать воодушевленно рассказывает о подругиной дочери, которая получила похоронные семь миллионов за мужа, купила трехкомнатную квартиру, и еще деньги остались. Я ору на мать, но не могу ей доказать, что нельзя строить свое благополучие на чужой смерти и горе. И что никакая квартира не стоит жизни мужа. Третья иллюзия, что для всех человеческая жизнь превыше всего, рушится […].

В самом начале войны я верила, что сейчас весь мир соберется в кулак и ебнет. Что мир понимает, что Украина — только начало, что Польша, Литва, Латвия, Эстония — следующие. Но Европа колеблется […]. И оказывается, что прав не тот, на чьей стороне правда, а тот, кто наглее и циничнее. Это была, пожалуй, последняя иллюзия — что мир устроен справедливо. Что добро должно побеждать, а зло должно быть наказано. Мне 53 года, я сижу на обломках своих иллюзий — девочка повзрослела.

Я много лет была прихожанкой католической церкви. Но теперь перестала туда ходить. Ведь присутствие на мессе предполагает причастие, а оно возможно после исповеди. А исповедь невозможна без искреннего раскаяния. Но я ложусь спать с мыслью «хоть бы сдох». А утром я первым делом читаю новости в надежде, что сдох. И я не хочу раскаиваться в этом. Сейчас, когда рухнули все иллюзии, ненависть — моя несущая конструкция, без нее я просто распадусь, потому что больше ничего не осталось […].

Чтобы прочитать письмо до конца, нажмите на цитату — оно раскроется полностью.

———

Вы тоже можете поделиться с «Медузой» своими мыслями по поводу войны через [форму](https://bit.ly/meduzamirror#/feature/2025/05/02/voyna) обратной связи.",52644,145,0
2025-05-02 14:10:42+00:00,"**1164-й день войны. Главное
**
Сделка по недрам, заключенная Украиной и США, начнет приносить доходы не раньше чем через 10–20 лет, считают эксперты. Инвесторы столкнутся с рядом препятствий на пути к выгоде, и продолжающаяся война — только одно из них, отмечает NYT.

Подробнее об этих выводах читайте в нашей военной хронике. 

———

Открыть [с VPN](https://meduza.io/feature/2025/05/02/voyna) | [без VPN](https://bit.ly/meduzamirror#/feature/2025/05/02/voyna)",54794,2,0
2025-05-02 13:26:43+00:00,"**Команда Трампа подготовила для него варианты по усилению экономического давления на Россию — Bloomberg**

Американские чиновники подготовили для президента США Дональда Трампа ряд вариантов по усилению экономического давления на Россию из-за того, что Владимир Путин медлит с прекращением войны в Украине, [пишет](https://bit.ly/meduzamirror#/news/2025/05/02/bloomberg-komanda-trampa-podgotovila-dlya-nego-varianty-po-usileniyu-ekonomicheskogo-davleniya-na-rossiyu) Bloomberg со ссылкой на источники.

В чем заключаются предложенные командой Трампа варианты — неизвестно. По словам собеседников Bloomberg, Трамп пока не принял решения, поскольку дипломатические усилия по завершению войны еще продолжаются. Любое решение, добавляют они, остается за президентом США.

В Совете национальной безопасности США и Госдепартаменте не ответили на запросы о комментариях. Представитель спецпосланника Трампа Стива Уиткоффа также не ответил журналистам.

———

Дональд Трамп неоднократно говорил, что, по его мнению, Владимир Путин хочет мира, однако после российского удара по Киеву в ночь на 24 апреля усомнился в этом и допустил введение вторичных санкций. В начале апреля 50 из 100 сенаторов США представили двухпартийный законопроект о первичных и вторичных санкциях против России. Он предусматривает пошлины в размере 500% на импорт из стран, покупающих российскую нефть, нефтепродукты, природный газ или уран, а также — санкции против любой страны, покупающей уран из России.",82294,78,0
2025-05-02 12:56:27+00:00,"**Империи Европы подчиняли себе не только далекие земли, но и соседей. Следы этого остались по всему континенту. Фотопроект Максима Шера «Внутренняя колонизация»**

Internal Colonisation («Внутренняя колонизация») — фотопроект Максима Шера, в котором он фиксирует следы различных империализмов в европейском культурном ландшафте: на территории современных Польши, Германии, Боснии, Греции и других стран. «Медуза» публикует несколько кейсов из проекта — о насильственной ассимиляции жителей захваченных территорий, об отношении к населению как к ресурсу, в том числе военному, и об эксплуатации природы колонии в интересах метрополии.

Открыть [с VPN](https://meduza.io/feature/2025/05/02/imperii-evropy-podchinyali-sebe-ne-tolko-dalekie-zemli-no-i-sosedey-sledy-etogo-ostalis-po-vsemu-kontinentu) | [без VPN](https://bit.ly/meduzamirror#/feature/2025/05/02/imperii-evropy-podchinyali-sebe-ne-tolko-dalekie-zemli-no-i-sosedey-sledy-etogo-ostalis-po-vsemu-kontinentu)",94011,252,0
2025-05-02 12:27:44+00:00,"**Выход **[**игры**](https://meduza.io/feature/2024/05/17/razrabotchiki-gta-vi-poobeschali-chto-igra-vyydet-osenyu-2025-goda-radi-etogo-oni-vernuli-vseh-sotrudnikov-s-udalenki)** GTA VI перенесли на май 2026 года

**Выход новой серии игры Grand Theft Auto (GTA VI) запланирован на 26 мая 2026 года, [объявил](https://bit.ly/meduzamirror#/news/2025/05/02/vyhod-igry-gta-vi-perenesli-na-may-2026-goda) ее разработчик — студия Rockstar Games.

«Нам очень жаль, что это позже, чем вы ожидали. Интерес и волнение, окружающие новую Grand Theft Auto, были поистине ошеломляющими для всей нашей команды. Мы хотим поблагодарить вас за вашу поддержку и терпение, пока мы работаем над завершением игры», — говорится в заявлении.

———

Весной 2024 года студия планировала выпуск GTA VI на осень 2025-го. Предыдущая часть серии, GTA V, вышла в 2013 году, продалась тиражом больше 200 миллионов копий и входит в тройку самых популярных игр в истории. Подробнее о том, как студия готовила выпуск новой серии, мы рассказывали здесь.

Открыть [с VPN](https://meduza.io/feature/2024/05/17/razrabotchiki-gta-vi-poobeschali-chto-igra-vyydet-osenyu-2025-goda-radi-etogo-oni-vernuli-vseh-sotrudnikov-s-udalenki) | [без VPN](https://bit.ly/meduzamirror#/feature/2024/05/17/razrabotchiki-gta-vi-poobeschali-chto-igra-vyydet-osenyu-2025-goda-radi-etogo-oni-vernuli-vseh-sotrudnikov-s-udalenki)",105442,570,0
2025-05-02 11:53:31+00:00,"**США начали делиться c Великобританией и странами Five Eyes данными своей разведки о космических программах Китая и России — The Times**

США начали делиться секретными разведданными о китайских и российских космических операциях с Великобританией и другими странами разведывательного альянса Five Eyes, [пишет](https://bit.ly/meduzamirror#/news/2025/05/02/the-times-ssha-nachali-delitsya-c-velikobritaniey-i-stranami-five-eyes-dannymi-razvedki-o-kosmicheskih-programmah-kitaya-i-rossii) The Times.

Разведкой орбитальных операций занимается американское подразделение космических сил Space Delta 9. Раньше его данные были доступны только сотрудникам в США. Однако в последние недели о программе американской разведки был проинформирован заместитель командующего объединенным авиационным командованием НАТО Джонни Стрингер.

Стрингеру показали тактические военные разведывательные операции США — в том числе то, как США с помощью камеры приближаются к российским и китайским спутникам. Камера делает снимки и оценивает, осуществляет ли спутник деятельность, которая должна вызывать беспокойство у США. Так, у Вашингтона есть опасения, что некоторые спутники имеют двойное назначение и используются военными под видом коммерческих.

В целом США опасаются, что Пекин и Москва быстро разрабатывают новые космические возможности, а Китай при этом вкладывает значительные средства в сбор разведывательных данных. Если США вступят в войну с Китаем, Пекин сможет использовать свои космические возможности для отслеживания перемещений американских войск.

По словам командующего Space Delta 9 полковника Рэмси Хорна, в последние недели было принято решение о более тесном сотрудничестве с Великобританией и другими партнерами Five Eyes, которым предоставят доступ к самым высоким уровням разведданных США. Связи с союзниками решили укрепить в надежде, что они помогут справиться с угрозами и уязвимостями. Представитель Space Delta 9 назвал этот шаг «знаменательным».",117148,74,0
2025-05-02 11:35:47+00:00,"**В тиктоках и рилсах много опасных советов о красоте и здоровье. Как не навредить себе?**

В тиктоке, инстаграме и ютьюбе регулярно публикуется много коротких видео, которые влияют на наши вкусы, увлечения и принимаемые решения. В том числе в вопросах питания, красоты и здоровья. Нередко популярные рекомендации неточны или даже вредны. Как защититься от опасной информации и понять, чему можно верить, а чему нет? 

Послушайте аудиоверсию инструкции, которую подготовил кооператив независимых журналистов «Берег». Прочитать текст можно [здесь](https://bereg.io/feature/2025/04/26/v-tiktoke-tak-mnogo-interesnyh-sovetov-na-temu-zdorovya-no-k-sozhaleniyu-v-osnovnom-oni-bespolezny-ili-opasny-vot-kak-raspoznat-nedostovernuyu-informatsiyu).

———

«Радио Медуза» — это аудиоверсии наших главных текстов. Слушайте на [подкаст-платформах](https://lnkfi.re/radiomeduza), на [ютьюбе](https://www.youtube.com/playlist?list=PLJyHyjiNEvI3zhhvJYsb_NLCBOtpSHNB-) и в нашем [приложении](https://meduza.page.link/8fVd).",120520,196,0
2025-05-02 10:51:32+00:00,"**В Ставропольском крае упали обломки беспилотников. В Украине заявили, что дроны атаковали воинскую часть космической разведки**

В ночь на 2 мая Ставропольский край был атакован украинскими беспилотниками, [сообщил](https://bit.ly/meduzamirror#/news/2025/05/02/v-stavropolskom-krae-upali-oblomki-bespilotnikov-v-ukraine-zayavili-chto-drony-atakovali-voinskuyu-chast-kosmicheskoy-razvedki) глава региона Владимир Владимиров. По его словам, фрагменты дронов упали в селе Московское Изобильненского округа. «Инфраструктура поселения не пострадала, все системы действуют в обычном режиме», — написал Владимиров. Пострадавших в результате атаки нет. 

В Центре противодействия дезинформации при Совете национальной безопасности и обороны Украины (СНБО) заявили, что «неизвестные дроны удачно долетели до воинской части космической разведки России, известной как объект „Звезда“». По [словам](https://t.me/akovalenko1989/9183) главы Центра Андрея Коваленко, эта часть представляет собой одну из основных станций российской системы космической радиоэлектронной разведки.

Система возникла еще в советское время и предназначалась в том числе для глобального перехвата сигналов со спутников. Это «фактически центр анализа космической информации, который принадлежит структуре главного разведывательного управления Генштаба ВС России», пишет Коваленко. Он утверждает, что эта система составляет часть стратегической архитектуры российской разведки, которая используется как для мониторинга ситуации в военных зонах, так и для кибершпионажа.

В Минобороны России об атаке беспилотников на Ставропольский край не сообщали.",137287,209,0
2025-05-02 09:50:01+00:00,"**Путин, по данным западной разведки, сконцентрировался на «краткосрочных целях» удержания контроля над захваченными украинскими территориями — CNN**

Новые разведданные, изученные американскими и западными чиновниками, свидетельствуют, что Владимир Путин, возможно, переключил свое внимание в войне на «более краткосрочные цели» укрепления влияния на территориях, захваченных Россией, [пишет](https://bit.ly/meduzamirror#/news/2025/05/02/cnn-po-dannym-zapadnoy-razvedki-putin-smenil-tseli-v-voyne-na-kratkosrochnye-i-skontsentrirovalsya-na-kontrole-zahvachennyh-ukrainskih-territoriy) CNN со ссылкой на несколько источников.

Еще одной краткосрочной целью источники CNN называют стимулирование российской экономики, «находящейся в затруднительном положении». Как отмечает CNN, до этого, по оценке разведки, Путин считал, что текущая ситуация в войне складывается в его пользу, и у него есть нужные импульс и ресурсы.

По словам двух источников CNN, актуальные данные, свидетельствующие о возможном изменении мышления Путина, отразились на убежденности Дональда Трампа и его команды в том, что российский президент может быть готов к рассмотрению мирного соглашения.

Однако высокопоставленные американские чиновники по-прежнему скептически относятся к Путину и его утверждениям, что он хочет мирного соглашения, пишет CNN. Также есть «широко распространенное мнение», что даже если Россия согласится на перемирие, она может попытаться возобновить войну и попытаться захватить больше украинских территорий в долгосрочной перспективе. «Я полагаю, что он [Путин], возможно, думает, что может быть ближайшей разумной целью», — говорит высокопоставленный сотрудник западной разведки.",164003,215,0
